rubro,provincia,anio,value
Productos primarios,Capital Federal,2007,0
Productos primarios,Córdoba,2007,2400.682
Productos primarios,Entre Ríos,2007,773.408
Productos primarios,La Pampa,2007,183.252
Productos primarios,Santa Fe,2007,1461.099
Productos primarios,Chubut,2007,287.78
Productos primarios,Neuquén,2007,53.425
Productos primarios,Río Negro,2007,325.6
Productos primarios,Santa Cruz,2007,256.393
Productos primarios,Tierra del Fuego,2007,42.881
Productos primarios,Catamarca,2007,1507.935
Productos primarios,Jujuy,2007,163.02
Productos primarios,La Rioja,2007,1.489
Productos primarios,Salta,2007,415.544
Productos primarios,Santiago del Estero,2007,246.526
Productos primarios,Tucumán,2007,317.293
Productos primarios,Mendoza,2007,235.403
Productos primarios,San Juan,2007,100.757
Productos primarios,San Luis,2007,35.222
Productos primarios,Chaco,2007,220.229
Productos primarios,Corrientes,2007,89.661
Productos primarios,Formosa,2007,9.072
Productos primarios,Misiones,2007,73.063
Manufacturas de origen agropecuario,Total País,2007,19213.617
Manufacturas de origen agropecuario,Buenos Aires,2007,4053.556
Manufacturas de origen agropecuario,Capital Federal,2007,144.816
Manufacturas de origen agropecuario,Córdoba,2007,2902.029
Manufacturas de origen agropecuario,Entre Ríos,2007,332.498
Manufacturas de origen agropecuario,La Pampa,2007,24.613
Manufacturas de origen agropecuario,Santa Fe,2007,9144.249
Manufacturas de origen agropecuario,Chubut,2007,219.734
Manufacturas de origen agropecuario,Neuquén,2007,38.588
Manufacturas de origen agropecuario,Río Negro,2007,78.513
Manufacturas de origen agropecuario,Santa Cruz,2007,50.758
Manufacturas de origen agropecuario,Tierra del Fuego,2007,42.22
Manufacturas de origen agropecuario,Catamarca,2007,26.568
Manufacturas de origen agropecuario,Jujuy,2007,49.372
Manufacturas de origen agropecuario,La Rioja,2007,95.481
Manufacturas de origen agropecuario,Salta,2007,100.721
Manufacturas de origen agropecuario,Santiago del Estero,2007,0.911
Manufacturas de origen agropecuario,Tucumán,2007,167.149
Manufacturas de origen agropecuario,Mendoza,2007,735.45
Manufacturas de origen agropecuario,San Juan,2007,180.867
Manufacturas de origen agropecuario,San Luis,2007,180.37
Manufacturas de origen agropecuario,Chaco,2007,64.138
Manufacturas de origen agropecuario,Corrientes,2007,27.991
Manufacturas de origen agropecuario,Formosa,2007,7.403
Manufacturas de origen agropecuario,Misiones,2007,216.719
Manufacturas de origen industrial,Total País,2007,17332.786
Manufacturas de origen industrial,Buenos Aires,2007,10593.328
Manufacturas de origen industrial,Capital Federal,2007,215.895
Manufacturas de origen industrial,Córdoba,2007,1415.47
Manufacturas de origen industrial,Entre Ríos,2007,87.505
Manufacturas de origen industrial,La Pampa,2007,5.584
Manufacturas de origen industrial,Santa Fe,2007,1572.898
Manufacturas de origen industrial,Chubut,2007,496.501
Manufacturas de origen industrial,Neuquén,2007,14.43
Manufacturas de origen industrial,Río Negro,2007,26.508
Manufacturas de origen industrial,Santa Cruz,2007,172.581
Manufacturas de origen industrial,Tierra del Fuego,2007,84.172
Manufacturas de origen industrial,Catamarca,2007,92.292
Manufacturas de origen industrial,Jujuy,2007,63.931
Manufacturas de origen industrial,La Rioja,2007,66.81
Manufacturas de origen industrial,Salta,2007,78.225
Manufacturas de origen industrial,Santiago del Estero,2007,23.4
Manufacturas de origen industrial,Tucumán,2007,269.504
Manufacturas de origen industrial,Mendoza,2007,169.154
Manufacturas de origen industrial,San Juan,2007,459.033
Manufacturas de origen industrial,San Luis,2007,291.354
Manufacturas de origen industrial,Chaco,2007,8.641
Manufacturas de origen industrial,Corrientes,2007,10.928
Manufacturas de origen industrial,Formosa,2007,2.286
Manufacturas de origen industrial,Misiones,2007,144.356
Combustibles y energía,Total País,2007,6948.878
Combustibles y energía,Buenos Aires,2007,2957.669
Combustibles y energía,Capital Federal,2007,0
Combustibles y energía,Córdoba,2007,0.91
Combustibles y energía,Entre Ríos,2007,47.108
Combustibles y energía,La Pampa,2007,12.053
Combustibles y energía,Santa Fe,2007,388.97
Combustibles y energía,Chubut,2007,648.051
Combustibles y energía,Neuquén,2007,578.794
Combustibles y energía,Río Negro,2007,51.473
Combustibles y energía,Santa Cruz,2007,318.3
Combustibles y energía,Tierra del Fuego,2007,286.859
Combustibles y energía,Catamarca,2007,0
Combustibles y energía,Jujuy,2007,0
Combustibles y energía,La Rioja,2007,0
Combustibles y energía,Salta,2007,452.533
Combustibles y energía,Santiago del Estero,2007,0
Combustibles y energía,Tucumán,2007,2.989
Combustibles y energía,Mendoza,2007,206.891
Combustibles y energía,San Juan,2007,1.456
Combustibles y energía,San Luis,2007,0
Combustibles y energía,Chaco,2007,0
Combustibles y energía,Corrientes,2007,8.374
Combustibles y energía,Formosa,2007,11.794
Combustibles y energía,Misiones,2007,0
Total,Total País,2008,70018.839
Total,Buenos Aires,2008,25017.983
Total,Capital Federal,2008,443.528
Total,Córdoba,2008,9631.077
Total,Entre Ríos,2008,1484.795
Total,La Pampa,2008,382.782
Total,Santa Fe,2008,15243.846
Total,Chubut,2008,2773.506
Total,Neuquén,2008,513.067
Total,Río Negro,2008,554.308
Total,Santa Cruz,2008,735.775
Total,Tierra del Fuego,2008,521.879
Total,Catamarca,2008,1273.189
Total,Jujuy,2008,322.275
Total,La Rioja,2008,178.87
Total,Salta,2008,1148.941
Total,Santiago del Estero,2008,301.804
Total,Tucumán,2008,1025.256
Total,Mendoza,2008,1587.524
Total,San Juan,2008,983.308
Total,San Luis,2008,581.75
Total,Chaco,2008,391.505
Total,Corrientes,2008,212.732
Total,Formosa,2008,25.06
Total,Misiones,2008,473.982
Productos primarios,Total País,2008,16201.438
Productos primarios,Buenos Aires,2008,4215.471
Productos primarios,Capital Federal,2008,0
Productos primarios,Córdoba,2008,3516.417
Productos primarios,Entre Ríos,2008,938.626
Productos primarios,La Pampa,2008,336.005
Productos primarios,Santa Fe,2008,2085.286
Productos primarios,Chubut,2008,309.956
Productos primarios,Neuquén,2008,69.313
Productos primarios,Río Negro,2008,389.03
Productos primarios,Santa Cruz,2008,393.035
Productos primarios,Tierra del Fuego,2008,50.388
Productos primarios,Catamarca,2008,1137.4
Productos primarios,Jujuy,2008,180.342
Productos primarios,La Rioja,2008,1.618
Productos primarios,Salta,2008,608.382
Productos primarios,Santiago del Estero,2008,273.467
Productos primarios,Tucumán,2008,518.335
Productos primarios,Mendoza,2008,247.863
Productos primarios,San Juan,2008,126.108
Productos primarios,San Luis,2008,82.302
Productos primarios,Chaco,2008,317.202
Productos primarios,Corrientes,2008,141.101
Productos primarios,Formosa,2008,7.381
Productos primarios,Misiones,2008,112.624
Manufacturas de origen agropecuario,Total País,2008,23906.277
Manufacturas de origen agropecuario,Buenos Aires,2008,5240.632
Manufacturas de origen agropecuario,Capital Federal,2008,163.685
Manufacturas de origen agropecuario,Córdoba,2008,4073.988
Manufacturas de origen agropecuario,Entre Ríos,2008,381.973
Manufacturas de origen agropecuario,La Pampa,2008,39.582
Manufacturas de origen agropecuario,Santa Fe,2008,10901.264
Manufacturas de origen agropecuario,Chubut,2008,213.838
Manufacturas de origen agropecuario,Neuquén,2008,54.352
Manufacturas de origen agropecuario,Río Negro,2008,93.645
Manufacturas de origen agropecuario,Santa Cruz,2008,44.734
Manufacturas de origen agropecuario,Tierra del Fuego,2008,68.606
Manufacturas de origen agropecuario,Catamarca,2008,32.769
Manufacturas de origen agropecuario,Jujuy,2008,61.598
Manufacturas de origen agropecuario,La Rioja,2008,97.704
Manufacturas de origen agropecuario,Salta,2008,100.479
Manufacturas de origen agropecuario,Santiago del Estero,2008,1.706
Manufacturas de origen agropecuario,Tucumán,2008,223.862
Manufacturas de origen agropecuario,Mendoza,2008,913.064
Manufacturas de origen agropecuario,San Juan,2008,231.333
Manufacturas de origen agropecuario,San Luis,2008,179.487
