provincia,anio,mes,empleados_registrados_miles
Catamarca,2015,sep-15,31.561
Catamarca,2015,oct-15,31.574
Catamarca,2015,nov-15,31.676
Catamarca,2015,dic-15,30.98
Catamarca,2016,ene-16,30.303
Catamarca,2016,feb-16,31.008
Catamarca,2016,mar-16,31.076
Catamarca,2016,abr-16,30.686
Catamarca,2016,may-16,30.231
Catamarca,2016,jun-16,29.922
Catamarca,2016,jul-16,29.838
Catamarca,2016,ago-16,29.669
Catamarca,2016,sep-16,29.802
Catamarca,2016,oct-16,29.96
Catamarca,2016,nov-16,30.265
Catamarca,2016,dic-16,29.937
Catamarca,2017,ene-17,30.572
Catamarca,2017,feb-17,31.555
Catamarca,2017,mar-17,32.37
Catamarca,2017,abr-17,34.7
Catamarca,2017,may-17,32.714
Catamarca,2017,Jun-17,32.449
Catamarca,2017,Jul-17,32.211
Catamarca,2017,ago-17,31.883
Catamarca,2017,sep-17,31.36
Catamarca,2017,oct-17,31.433
Catamarca,2017,nov-17,31.672
Catamarca,2017,dic-17,31.043
Catamarca,2018,ene-18,30.769
Catamarca,2018,feb-18,31.463
Catamarca,2018,mar-18,31.432
Catamarca,2018,abr-18,31.304
Catamarca,2018,may-18,30.895
Catamarca,2018,jun-18,30.506
Catamarca,2018,jul-18,30.304
Catamarca,2018,ago-18,29.782
Catamarca,2018,sep-18,29.221
Catamarca,2018,oct-18,29.095
Catamarca,2018,nov-18,29.186
Catamarca,2018,dic-18,28.543
Catamarca,2019,ene-19,28.712
Catamarca,2019,feb-19,29.547
Catamarca,2019,mar-19,29.238
Catamarca,2019,abr-19,28.701
Catamarca,2019,may-19,28.458
Catamarca,2019,jun-19,27.784
Catamarca,2019,jul-19,27.699
Catamarca,2019,ago-19,27.539
Catamarca,2019,sep-19,27.324
Catamarca,2019,oct-19,27.457
Catamarca,2019,nov-19,27.686
Catamarca,2019,dic-19,27.405
Catamarca,2020,ene-20,27.523
Catamarca,2020,feb-20,28.615
Catamarca,2020,mar-20,28.625
Catamarca,2020,abr-20,27.006
Catamarca,2020,may-20,26.528
Catamarca,2020,jun-20,26.476
Catamarca,2020,jul-20,26.416
Catamarca,2020,ago-20,26.174
Catamarca,2020,sep-20,26.156
Catamarca,2020,oct-20,26.579
Catamarca,2020,nov-20,26.721
Catamarca,2020,dic-20,26.505
Catamarca,2021,ene-21,27.015
Catamarca,2021,feb-21,27.667
Catamarca,2021,mar-21,28.091
Catamarca,2021,abr-21,28.243
Catamarca,2021,may-21,28.136
Catamarca,2021,jun-21,28.17
Catamarca,2021,jul-21,27.858
Catamarca,2021,ago-21,28.34
Catamarca,2021,sep-21,28.803
Catamarca,2021,oct-21,29.408
Chaco,2009,ene-09,59.917
Chaco,2009,feb-09,60.212
Chaco,2009,mar-09,61.331
Chaco,2009,abr-09,61.796
Chaco,2009,may-09,62.265
Chaco,2009,jun-09,62.265
Chaco,2009,jul-09,62.264
Chaco,2009,ago-09,62.002
Chaco,2009,sep-09,61.676
Chaco,2009,oct-09,61.747
Chaco,2009,nov-09,59.276
Chaco,2009,dic-09,59.034
Chaco,2010,ene-10,58.776
Chaco,2010,feb-10,59.385
Chaco,2010,mar-10,59.391
Chaco,2010,abr-10,59.841
Chaco,2010,may-10,59.879
Chaco,2010,jun-10,60.147
Chaco,2010,jul-10,60.147
Chaco,2010,ago-10,60.709
Chaco,2010,sep-10,61.315
Chaco,2010,oct-10,61.545
Chaco,2010,nov-10,61.954
Chaco,2010,dic-10,61.803
Chaco,2011,ene-11,61.192
Chaco,2011,feb-11,62.077
Chaco,2011,mar-11,63.276
Chaco,2011,abr-11,64.245
Chaco,2011,may-11,66.138
Chaco,2011,jun-11,66.615
Chaco,2011,jul-11,66.697
Chaco,2011,ago-11,66.57
Chaco,2011,sep-11,66.187
Chaco,2011,oct-11,67.279
Chaco,2011,nov-11,66.967
Chaco,2011,dic-11,66.55
Chaco,2012,ene-12,65.476
Chaco,2012,feb-12,65.731
Chaco,2012,mar-12,66.89
Chaco,2012,abr-12,67.163
Chaco,2012,may-12,68.082
Chaco,2012,jun-12,68.283
Chaco,2012,jul-12,68.1
Chaco,2012,ago-12,67.872
Chaco,2012,sep-12,67.315
Chaco,2012,oct-12,67.62
Chaco,2012,nov-12,67.535
Chaco,2012,dic-12,67.346
Chaco,2013,ene-13,66.27
Chaco,2013,feb-13,66.95
Chaco,2013,mar-13,67.749
Chaco,2013,abr-13,68.493
Chaco,2013,may-13,69.454
Chaco,2013,jun-13,70.196
Chaco,2013,jul-13,71.002
Chaco,2013,ago-13,72.852
Chaco,2013,sep-13,72.698
Chaco,2013,oct-13,73.744
Chaco,2013,nov-13,74.268
Chaco,2013,dic-13,72.713
Chaco,2014,ene-14,71.522
Chaco,2014,feb-14,71.665
Chaco,2014,mar-14,71.662
Chaco,2014,abr-14,72.212
Chaco,2014,may-14,73.123
Chaco,2014,jun-14,73.531
Chaco,2014,jul-14,73.605
Chaco,2014,ago-14,73.635
Chaco,2014,sep-14,73.678
Chaco,2014,oct-14,73.678
Chaco,2014,nov-14,73.512
Chaco,2014,dic-14,73.552
Chaco,2015,ene-15,72.492
Chaco,2015,feb-15,72.797
Chaco,2015,mar-15,73.662
Chaco,2015,abr-15,74.659
Chaco,2015,may-15,76.272
Chaco,2015,jun-15,76.1
Chaco,2015,jul-15,76.488
Chaco,2015,ago-15,77.623
Chaco,2015,sep-15,77.878
Chaco,2015,oct-15,77.153
Chaco,2015,nov-15,76.728
Chaco,2015,dic-15,74.601
Chaco,2016,ene-16,72.786
Chaco,2016,feb-16,72.825
Chaco,2016,mar-16,73.364
Chaco,2016,abr-16,74.028
Chaco,2016,may-16,74.673
Chaco,2016,jun-16,74.89
Chaco,2016,jul-16,74.811
Chaco,2016,ago-16,75.343
Chaco,2016,sep-16,75.437
Chaco,2016,oct-16,75.515
Chaco,2016,nov-16,75.976
Chaco,2016,dic-16,75.974
Chaco,2017,ene-17,75.403
Chaco,2017,feb-17,75.783
Chaco,2017,mar-17,76.384
Chaco,2017,abr-17,76.128
Chaco,2017,may-17,77.159
Chaco,2017,Jun-17,77.674
Chaco,2017,Jul-17,78.056
Chaco,2017,ago-17,78.455
Chaco,2017,sep-17,78.278
Chaco,2017,oct-17,78.316
Chaco,2017,nov-17,78.653
Chaco,2017,dic-17,78.216
Chaco,2018,ene-18,76.818
Chaco,2018,feb-18,76.91
Chaco,2018,mar-18,77.678
Chaco,2018,abr-18,77.804
Chaco,2018,may-18,77.901
Chaco,2018,jun-18,77.546
Chaco,2018,jul-18,76.654
Chaco,2018,ago-18,75.826
Chaco,2018,sep-18,74.707
Chaco,2018,oct-18,74.303
Chaco,2018,nov-18,73.815
Chaco,2018,dic-18,73.527
Chaco,2019,ene-19,72.393
Chaco,2019,feb-19,72.607
Chaco,2019,mar-19,72.514
Chaco,2019,abr-19,72.692
Chaco,2019,may-19,72.848
Chaco,2019,jun-19,72.815
Chaco,2019,jul-19,72.808
Chaco,2019,ago-19,72.814
Chaco,2019,sep-19,72.223
Chaco,2019,oct-19,72.77
Chaco,2019,nov-19,72.269
Chaco,2019,dic-19,71.453
Chaco,2020,ene-20,70.517
Chaco,2020,feb-20,70.404
Chaco,2020,mar-20,70.374
Chaco,2020,abr-20,69.11
Chaco,2020,may-20,68.97
Chaco,2020,jun-20,69.442
Chaco,2020,jul-20,69.502
Chaco,2020,ago-20,69.834
Chaco,2020,sep-20,69.825
Chaco,2020,oct-20,70.099
Chaco,2020,nov-20,70.471
Chaco,2020,dic-20,70.532
Chaco,2021,ene-21,70.384
Chaco,2021,feb-21,70.712
Chaco,2021,mar-21,71.1
Chaco,2021,abr-21,71.762
Chaco,2021,may-21,72.071
Chaco,2021,jun-21,72.489
Chaco,2021,jul-21,72.124
Chaco,2021,ago-21,72.081
Chaco,2021,sep-21,72.297
Chaco,2021,oct-21,72.312
Chubut,2009,ene-09,93.274
Chubut,2009,feb-09,92.852
Chubut,2009,mar-09,93.235
Chubut,2009,abr-09,91.65
Chubut,2009,may-09,90.353
Chubut,2009,jun-09,89.264
Chubut,2009,jul-09,88.65
Chubut,2009,ago-09,88.908
Chubut,2009,sep-09,89.537
Chubut,2009,oct-09,89.769
Chubut,2009,nov-09,89.856
Chubut,2009,dic-09,90.6
Chubut,2010,ene-10,89.811
Chubut,2010,feb-10,90.419
Chubut,2010,mar-10,91.136
Chubut,2010,abr-10,90.316
Chubut,2010,may-10,89.547
Chubut,2010,jun-10,89.567
Chubut,2010,jul-10,90.395
Chubut,2010,ago-10,90.688
Chubut,2010,sep-10,91.981
Chubut,2010,oct-10,92.241
Chubut,2010,nov-10,93.428
Chubut,2010,dic-10,95.226
